<<<<<<< HEAD
game_episode,end_x,end_y
=======
game_phase,end_x,end_y
>>>>>>> cf584226cb40e791e98a8c24c37bd8ee68b666cd
153363_1,0.5802333,0.4784983
153363_10,0.24883857,0.38452253
153363_100,0.5468037,0.46948746
153363_101,0.3654436,0.21774516
153363_102,0.78598386,0.7131722
153363_103,0.17555301,0.16501781
153363_104,0.5840638,0.53685564
153363_105,0.2815483,0.63499326
153363_106,0.866701,0.3153777
153363_107,0.402355,0.68372434
153363_108,0.9329453,0.33479285
153363_109,0.5008798,0.56834084
153363_11,0.6627372,0.62838197
153363_110,0.24436638,0.09950343
153363_111,,
153363_112,0.2858346,0.4495447
153363_113,0.48747155,0.2861031
153363_114,0.2522881,0.4462109
153363_115,0.4309506,0.29935375
153363_116,0.48674598,0.11975956
153363_117,0.35533103,0.37527373
153363_118,0.43088815,0.103093356
153363_119,,
153363_12,0.2381177,0.21521142
153363_120,0.19470012,0.22972259
153363_121,0.5415448,0.33559403
153363_122,0.37278804,0.26441875
153363_123,,
153363_124,0.7811436,0.28610203
153363_125,0.5209292,0.5878349
153363_126,,
153363_127,,
153363_128,0.27650723,0.3400983
153363_129,,
153363_13,0.40752545,0.22057053
153363_130,0.8054709,0.43489957
153363_131,0.4503164,0.6591473
153363_132,0.4191926,0.68639046
153363_133,0.72018564,0.4971523
153363_134,0.27545008,0.18474397
153363_135,0.78391707,0.40189388
153363_136,0.2223683,0.27472565
153363_137,0.4502274,0.19484428
153363_138,0.40063372,0.4540514
153363_139,0.5666607,0.8890822
153363_14,0.4842359,0.32802975
153363_140,0.6273959,0.43642893
153363_141,0.3257689,0.25389752
153363_142,,
153363_143,0.46770564,0.745868
153363_144,0.79695517,0.3381237
153363_145,0.5970581,0.6365184
153363_146,0.2940599,0.29996273
153363_147,0.6613627,0.43189588
153363_148,0.31170925,0.086979955
153363_149,,
153363_15,,
153363_150,0.41543546,0.74307144
153363_151,0.43850031,0.15800077
153363_152,0.2661444,0.34303978
153363_153,0.6157612,0.49783298
153363_154,0.25399932,0.1877376
153363_155,,
153363_156,,
153363_157,0.5906301,0.7072379
153363_158,0.31545252,0.24790725
153363_159,0.32794037,0.19576558
153363_16,,
153363_160,0.29534888,0.23044106
153363_161,0.73891073,0.4005632
153363_162,0.20716861,0.24040309
153363_163,0.80280274,0.8194247
153363_164,0.55145603,0.16568333
153363_165,0.54865223,0.7425645
153363_166,0.7447971,0.32497033
153363_167,0.36053815,0.89581275
153363_168,,
153363_169,,
153363_17,0.72788304,0.71236223
153363_170,,
153363_171,,
153363_172,0.43233982,0.79246044
153363_173,0.37040707,0.09681292
153363_174,0.9356563,0.4126034
153363_175,0.64010215,0.59286255
153363_176,0.26463974,0.040649075
153363_177,,
153363_178,0.90623355,0.23553643
153363_179,0.2081173,0.3631469
153363_18,0.2687261,0.26401082
153363_180,0.89911133,0.2634364
153363_181,0.2790796,0.98824996
153363_182,0.92049104,0.44678077
153363_183,0.19269145,0.2313473
153363_184,0.82743984,0.6899492
153363_185,0.32560423,0.7884466
153363_186,0.8159647,0.3805187
153363_187,0.30080837,0.5266869
153363_188,,
153363_189,0.29148087,0.804236
153363_19,0.48858216,0.27261937
153363_190,0.7401853,0.25656024
153363_191,0.4218469,0.4946269
153363_192,0.813386,0.7970668
153363_193,0.5916829,0.47845766
153363_194,0.64503044,0.42176822
153363_195,,
153363_196,0.33064878,0.51892906
153363_197,0.7775021,0.2744214
153363_198,,
153363_199,0.3237751,0.044814926
153363_2,0.54903984,0.7855155
153363_20,,
153363_200,0.5984919,0.51579744
153363_201,0.71471006,0.6732739
153363_202,0.2670694,0.13557905
153363_203,0.7618477,0.68623847
153363_204,0.17311814,0.1902227
153363_205,0.5210541,0.6038097
153363_206,0.62885493,0.51272297
153363_207,0.5459695,0.5039634
153363_208,0.25371668,0.04704755
153363_209,0.6570721,0.49301508
153363_21,0.5940739,0.77210253
153363_210,,
153363_211,0.43764296,0.216328
153363_212,0.43092015,0.32720143
153363_213,,
153363_214,0.28153372,0.38688746
153363_215,,
153363_216,0.17495564,0.19024615
153363_217,0.6993186,0.70105916
153363_218,0.2666843,0.48632756
153363_219,0.6470667,0.5365512
153363_22,,
153363_220,0.48360273,0.5798039
153363_221,0.5258829,0.6347087
153363_222,0.8245913,0.29621327
153363_223,0.23099786,0.9629939
153363_224,1.0130634,0.41021347
153363_225,0.4382829,0.4275566
153363_226,0.76061726,0.49961087
153363_227,,
153363_228,0.3068922,0.5788806
153363_229,0.80472153,0.34932798
153363_23,0.45025578,0.33835843
153363_230,,
153363_231,0.42319867,0.5239009
153363_232,0.76061124,0.43261346
153363_233,0.67263454,0.7820973
153363_234,,
153363_235,0.66926855,0.95468444
153363_236,,
153363_237,,
153363_238,0.17464128,0.1853234
153363_239,0.25795242,0.25842193
153363_24,0.3158225,0.35805222
153363_240,0.80208915,0.28116202
153363_241,,
153363_242,0.6735252,0.7263555
153363_243,0.5282914,0.1826637
153363_244,,
153363_245,0.62251544,0.6522059
153363_246,,
153363_247,,
153363_248,0.17422146,0.18765959
153363_249,0.53199786,0.8707828
153363_25,0.5290525,0.5906859
153363_250,0.45844778,0.37205276
153363_251,0.71479905,0.6016322
153363_252,0.53261745,0.54891706
153363_253,0.5899424,0.64559567
153363_254,0.46858594,0.29726264
153363_255,0.8421292,0.68430334
153363_256,0.31137255,0.6329615
153363_257,,
153363_258,,
153363_259,0.9087888,0.23305085
153363_26,0.28552118,0.0666192
153363_260,0.43818206,0.6489645
153363_261,0.3764054,0.1591863
153363_262,,
153363_263,,
153363_264,0.20018357,0.02286965
153363_265,0.7532811,0.9066655
153363_266,0.34880722,0.22124434
153363_267,0.5914186,0.604421
153363_268,0.7023578,0.23643565
153363_269,0.2708409,0.7974518
153363_27,,
153363_270,,
153363_271,0.21442524,0.024033736
153363_272,0.7486413,0.9078159
153363_273,0.5058426,0.20127618
153363_274,0.6387412,0.78579795
153363_275,0.5921303,0.37745968
153363_276,0.3163472,0.21677423
153363_277,0.72772306,0.7223204
153363_278,0.27750373,0.07365839
153363_279,0.6674227,0.7383724
153363_28,0.52534884,0.46706077
153363_280,0.32459918,0.47479185
153363_281,,
153363_29,0.5287503,0.504744
153363_3,0.7751693,0.43358514
153363_30,,
153363_31,0.89092094,0.20862573
153363_32,0.2544261,0.91405296
153363_33,0.4765475,0.065293446
153363_34,0.15400508,0.355255
153363_35,0.88116974,0.41187122
153363_36,0.36556086,0.6977532
153363_37,0.64230424,0.5026234
153363_38,0.61639094,0.31363603
153363_39,0.18880251,0.24690244
153363_4,0.54990387,0.59409875
153363_40,,
153363_41,0.16990073,0.2265397
153363_42,0.5764231,0.102519855
153363_43,0.79477376,0.84531635
153363_44,0.51410455,0.34682935
153363_45,0.38092807,0.64851403
153363_46,0.81175405,0.5611296
153363_47,0.6848976,0.44872454
153363_48,0.22314537,0.99339527
153363_49,0.9585947,0.39985862
153363_5,0.5939855,0.29349288
153363_50,0.43555245,0.54267573
153363_51,0.50436574,0.71306485
153363_52,0.3731301,0.1337296
153363_53,0.1911847,0.23015708
153363_54,,
153363_55,0.66873115,0.9417218
153363_56,,
153363_57,0.3546179,0.036815327
153363_58,0.38495904,0.7969964
153363_59,0.37273166,0.09005578
153363_6,0.4856552,0.8981213
153363_60,0.6198884,0.69856554
153363_61,0.57530046,0.45988443
153363_62,0.29169622,0.14975758
153363_63,0.72632426,0.5884351
153363_64,0.43299618,0.58613974
153363_65,0.45647392,0.5010222
153363_66,,
153363_67,,
153363_68,0.57852787,0.3647546
153363_69,,
153363_7,,
153363_70,0.2913872,0.1096369
153363_71,,
153363_72,0.34720322,0.44782063
153363_73,,
153363_74,,
153363_75,0.18656266,0.29134837
153363_76,0.88164276,0.5043792
153363_77,0.3195176,0.32321855
153363_78,0.7273531,0.64167225
153363_79,0.3838924,0.30673638
153363_8,0.47729746,0.110058606
153363_80,0.4141191,0.22603473
153363_81,0.47668156,0.5253256
153363_82,0.9065839,0.6200763
153363_83,0.9576021,0.63991827
153363_84,0.17515731,0.11508134
153363_85,0.97553915,0.6237257
153363_86,0.18431146,0.1698009
153363_87,0.85480934,0.61586356
153363_88,0.21485624,0.18153065
153363_89,0.90229505,0.40055433
153363_9,,
153363_90,0.23908052,0.43350148
153363_91,0.98164976,0.57279605
153363_92,0.16874418,0.17365722
153363_93,0.89829063,0.53083867
153363_94,0.19268945,0.18081127
153363_95,0.8673801,0.32876602
153363_96,0.4044769,0.41913387
153363_97,0.19515349,0.2103321
153363_98,0.46753708,0.21599972
153363_99,0.7344728,0.52565044
153364_1,0.5236156,0.6570521
153364_10,0.6816042,0.777871
153364_100,0.21095568,0.18074608
153364_101,0.9184424,0.56657463
153364_102,0.6952235,0.8375307
153364_103,0.49121115,0.23249272
153364_104,0.70442456,0.16609699
153364_105,0.60545677,0.31184027
153364_106,0.40571973,0.84764403
153364_107,0.7225978,0.20896056
153364_108,0.55429405,0.7707839
153364_109,0.4357591,0.6645887
153364_11,0.7279387,0.38913718
153364_110,0.59703827,0.87598735
153364_111,0.56277895,0.46606925
153364_112,0.6046671,0.6819503
153364_113,0.42910084,0.60717756
153364_114,,
153364_115,0.44954786,0.96208316
153364_116,0.59354085,0.24433413
153364_117,,
153364_118,0.65772015,0.5155048
153364_119,0.680153,0.7239036
153364_12,0.3925534,0.4545268
153364_120,,
153364_121,0.66664344,0.50976187
153364_122,0.27343428,0.3272167
153364_123,,
153364_124,0.7067701,0.6843626
153364_125,0.4758408,0.30274788
153364_126,0.37429044,0.2943038
153364_127,0.26908478,0.16901371
153364_128,,
153364_129,0.57088035,0.7939661
153364_13,,
153364_130,,
153364_131,0.3101189,0.12540603
153364_132,0.30823085,0.26698467
153364_133,0.27899134,0.7933987
153364_134,0.7169529,0.14902945
153364_135,0.44050232,0.8921562
153364_136,0.28534853,0.08355497
153364_137,0.79269713,0.47103384
153364_138,0.43347144,0.57765096
153364_139,0.68278545,0.7403277
153364_14,0.61341506,0.85788685
153364_140,0.37625995,0.43821216
153364_141,0.83333987,0.5768204
153364_142,0.33238256,0.41313314
153364_143,,
153364_144,0.21846476,0.9712313
153364_145,0.8355949,0.49223408
153364_146,0.17446426,0.15919138
153364_147,,
153364_148,0.4874336,0.43244508
153364_149,0.64676315,0.52118737
153364_15,,
153364_150,0.69120955,0.4345495
153364_151,0.18850797,0.33343384
153364_152,,
153364_153,0.55243003,0.4991375
153364_154,0.63807774,0.41895688
153364_155,,
153364_156,0.17438659,0.1568749
153364_157,0.28422278,0.27792555
153364_158,0.63710624,0.29306862
153364_159,0.5533177,0.8124419
153364_16,0.60778016,0.5202003
153364_160,0.6170356,0.21947837
153364_161,0.26011708,0.34891376
153364_162,0.6997958,0.21948668
153364_163,0.26568684,0.3076283
153364_164,0.7651165,0.17467095
153364_165,,
153364_166,0.46376976,0.9483394
153364_167,0.3892075,0.36007503
153364_168,,
153364_169,0.21131977,0.35297906
153364_17,,
153364_170,0.81462234,0.42301765
153364_171,0.29790056,0.72064054
153364_172,0.7909972,0.3965983
153364_173,0.51508427,0.6084133
153364_174,0.7314495,0.42713633
153364_175,0.2805407,0.24013183
153364_176,,
153364_177,0.20060492,0.022903737
153364_178,0.7388024,0.86575514
153364_179,,
153364_18,,
153364_180,,
153364_181,0.26191762,0.03999165
153364_182,,
153364_183,0.5136835,0.42842773
153364_184,0.5079004,0.6844096
153364_185,0.2784468,0.08071637
153364_186,0.59961814,0.29597947
153364_187,0.6213909,0.958895
153364_188,0.281171,0.058094118
153364_189,0.54054725,0.9023233
153364_19,0.59876114,0.42488483
153364_190,0.51214474,0.16900192
153364_191,,
153364_192,0.5792836,0.19565886
153364_193,0.2647016,0.48512432
153364_194,0.8242532,0.40277222
153364_195,0.22872546,0.26752087
153364_196,0.7987364,0.28763828
153364_197,0.4561142,0.11553694
153364_198,0.43880987,0.68117696
153364_199,0.76927096,0.7402876
153364_2,0.77529293,0.6601127
153364_20,0.4669566,0.72526544
153364_200,0.445202,0.26430658
153364_201,0.703307,0.48703858
153364_202,0.5299293,0.2245608
153364_203,0.6735326,0.8653957
153364_204,0.3298743,0.51305217
153364_205,0.44021368,0.18702997
153364_206,0.46070984,0.39286873
153364_207,0.37459654,0.76746684
153364_208,0.81604886,0.41017625
153364_209,0.21743056,0.25315765
153364_21,0.34074798,0.12501875
153364_210,0.8644017,0.69317573
153364_211,0.3593541,0.6659622
153364_212,0.70590353,0.2806249
153364_213,0.20207483,0.14465587
153364_214,0.8980591,0.6516268
153364_215,0.21690074,0.1473219
153364_216,0.45102838,0.28775644
153364_217,0.26047802,0.47511122
153364_218,,
153364_219,,
153364_22,,
153364_220,0.44786334,0.0976055
153364_221,,
153364_222,0.36829054,0.04519443
153364_223,0.54763067,0.82796305
153364_224,0.44179845,0.2774393
153364_225,0.74395835,0.64201564
153364_226,0.19146425,0.14106408
153364_227,,
153364_228,0.50478756,0.15775946
153364_229,,
153364_23,0.2693437,0.28684682
153364_230,,
153364_231,0.32263663,0.58504844
153364_232,,
153364_233,,
153364_234,0.54009837,0.94359845
153364_235,0.44703677,0.69587463
153364_236,0.3815931,0.11968371
153364_237,,
153364_238,,
153364_239,0.6376842,0.8728869
153364_24,0.6106074,0.23543295
153364_240,0.5054607,0.104747236
153364_241,0.81403697,0.793035
153364_242,0.4370604,0.9265057
153364_243,0.5529859,0.20541516
153364_244,0.784629,0.6244222
153364_245,,
153364_246,0.37220192,0.05665883
153364_247,0.25483644,0.3335515
153364_248,0.6114032,0.3473744
153364_249,0.5051776,0.67604846
153364_25,0.45990098,0.83657223
153364_250,,
153364_251,0.40726054,0.8244677
153364_252,,
153364_253,0.56434625,0.6461777
153364_254,0.35162014,0.47542772
153364_255,,
153364_256,0.430463,0.10118252
153364_257,,
153364_258,0.50398743,0.92639905
153364_259,0.77735454,0.35382563
153364_26,0.37481472,0.11651778
153364_260,0.37910256,0.6137646
153364_261,0.7341839,0.42611197
153364_262,0.52930045,0.789545
153364_263,0.5541545,0.6549453
153364_264,0.69073963,0.40849265
153364_265,0.4802673,0.67363435
153364_266,0.7018239,0.38213125
153364_267,,
153364_268,0.29412603,0.34851584
153364_269,0.72334605,0.70490175
153364_27,0.48688406,0.7659434
153364_270,0.38511276,0.33801833
153364_271,0.40303442,0.28925022
153364_272,0.24978352,0.0766094
153364_273,0.4844359,0.51956695
153364_274,0.73164046,0.5175721
153364_275,0.25354582,0.16795588
153364_276,0.72069985,0.2274284
153364_277,,
153364_278,0.7274111,0.8358918
153364_279,,
153364_28,0.37461415,0.05997252
153364_29,0.24078476,0.35145387
153364_3,0.44708776,0.42686203
153364_30,0.75683975,0.41993716
153364_31,0.2501705,0.26144883
153364_32,0.39134654,0.15775113
153364_33,0.7212617,0.46727404
153364_34,0.30703908,0.7133947
153364_35,0.6153203,0.4961265
153364_36,,
153364_37,0.49353805,0.23664814
153364_38,0.5184624,0.72127825
153364_39,0.39662763,0.0728775
153364_4,0.85050625,0.6019651
153364_40,0.64909744,0.49157217
153364_41,0.28292963,0.046093848
153364_42,0.7083474,0.5023514
153364_43,0.38729724,0.9222905
153364_44,0.8036083,0.28034195
153364_45,0.6419168,0.5923919
153364_46,0.58817995,0.64968807
153364_47,,
153364_48,,
153364_49,0.2659255,0.5356658
153364_5,0.4207433,0.70326644
153364_50,,
153364_51,,
153364_52,0.22450808,0.0863744
153364_53,0.8398208,0.7880545
153364_54,0.3344447,0.27927616
153364_55,0.59525794,0.5300614
153364_56,0.33326003,0.16649966
153364_57,0.72478044,0.5971258
153364_58,0.2234653,0.15889071
153364_59,,
153364_6,0.5131909,0.21942112
153364_60,0.33306456,0.11220431
153364_61,,
153364_62,0.4120213,0.95465034
153364_63,0.43772796,0.6554856
153364_64,0.8444036,0.22524786
153364_65,,
153364_66,0.25981778,0.05261894
153364_67,0.79147696,0.5612961
153364_68,0.2831143,0.61884314
153364_69,0.62377733,0.67601085
153364_7,,
153364_70,0.35067433,0.16038659
153364_71,,
153364_72,0.21992674,0.25167653
153364_73,0.2409536,0.12819985
153364_74,0.66858476,0.7547764
153364_75,,
153364_76,0.56645876,0.7145228
153364_77,0.35496673,0.17448232
153364_78,,
153364_79,0.27488148,0.5739195
153364_8,0.4557344,0.1909064
153364_80,,
153364_81,0.44629264,0.4760858
153364_82,0.6912572,0.48316988
153364_83,0.65612423,0.70773965
153364_84,0.2928862,0.23602876
153364_85,0.62040293,0.53153634
153364_86,0.64251196,0.5833961
153364_87,0.32354906,0.36454225
153364_88,0.305469,0.373372
153364_89,,
153364_9,0.4601085,0.20840761
153364_90,0.44831827,0.5137186
153364_91,,
153364_92,0.43695202,0.50544244
153364_93,0.6633383,0.4341428
153364_94,0.5443437,0.735104
153364_95,0.75571144,0.3508208
153364_96,0.32383308,0.6245188
153364_97,0.6771917,0.27202508
153364_98,0.636668,0.18541504
153364_99,0.8969426,0.77503026
153365_1,,
153365_10,0.24574965,0.37368554
153365_100,0.22280973,0.34631065
153365_101,0.7987599,0.28331038
153365_102,0.44711003,0.7708197
